56,Challenger Lille - Quarter Final Matches,Fri 25 Mar,LIVE,"Jonas Forejtek
Malek Jaziri",,,2022-03-25 16:02:21.293285
57,Challenger Lille - Quarter Final Matches,Fri 25 Mar,17:00,"Ricardas Berankis
Alexis Galarneau",3/10,12/5,2022-03-25 16:02:21.309359
58,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,21:00,"Daniel Dutra Da Silva
Marcelo Tomas Barrios Vera",11/4,1/4,2022-03-25 16:02:21.824206
59,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,21:00,"Paul Jubb
Hernan Casanova",4/11,2/1,2022-03-25 16:02:21.841008
60,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,22:30,"Facundo Mena
Juan Pablo Varillas",4/1,1/6,2022-03-25 16:02:21.857012
61,Challenger Santa Cruz - Quarter Final Matches,Fri 25 Mar,23:00,"Genaro Alberto Olivieri
Pablo Cuevas",7/4,2/5,2022-03-25 16:02:21.872173
62,ATP Miami MD - Round 2 Matches,Sat 26 Mar,15:00,"Khachanov/Rublev
Kokkinakis/Kyrgios",6/4,1/2,2022-03-25 16:02:22.079082
63,ATP Miami MD - Round 1 Matches,Fri 25 Mar,16:30,"Ebden/Purcell
De Minaur/Ramos-Vinolas",1/5,10/3,2022-03-25 16:02:23.505202
64,ATP Miami MD - Round 1 Matches,Fri 25 Mar,18:00,"Delbonis/Gonzalez
Murray/Soares",2/1,4/11,2022-03-25 16:02:23.521388
65,ATP Miami MD - Round 1 Matches,Fri 25 Mar,18:00,"Mektic/Pavic
Basilashvili/Djere",1/10,6/1,2022-03-25 16:02:23.538734
66,ATP Miami MD - Round 1 Matches,Fri 25 Mar,19:30,"Bopanna/Shapovalov
Arevalo/Rojer",4/5,10/11,2022-03-25 16:02:23.555008
67,ATP Miami MD - Round 1 Matches,Fri 25 Mar,21:00,"Harris/Middelkoop
Koolhof/Skupski",6/4,1/2,2022-03-25 16:02:23.571527
68,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Behar/Escobar
Martinez/Sonego",4/7,5/4,2022-03-25 16:02:23.589398
69,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Brkic/Cacic
Opelka/Sinner",1/1,8/11,2022-03-25 16:02:23.607521
70,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Gille/Vliegen
Dodig/Melo",1/1,8/11,2022-03-25 16:02:23.623616
71,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Glasspool/Venus
Ram/Salisbury",2/1,4/11,2022-03-25 16:02:23.640413
72,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Klaasen/Mclachlan
Granollers/Zeballos",13/8,4/9,2022-03-25 16:02:23.670308
73,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Mahut/Martin
Krajicek/Roger-Vasselin",8/11,1/1,2022-03-25 16:02:23.699724
74,ATP Miami MD - Round 1 Matches,Sat 26 Mar,15:00,"Peers/Polasek
Bolelli/Fognini",8/13,6/5,2022-03-25 16:02:23.717920
